goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12                      	 8903332	       150.9 ns/op	     176 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                       	 3518428	       340.3 ns/op	     137 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12                      	 9918384	       114.7 ns/op	      88 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                         	 2472246	       489.5 ns/op	     208 B/op	      10 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                         	 3120522	       376.3 ns/op	     136 B/op	       8 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[kaptinlin/jsonpointer]-12                      	 4889240	       248.1 ns/op	     136 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                     	34253565	        41.67 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12               	 2349633	       465.5 ns/op	     296 B/op	      15 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12                     	 6860844	       166.3 ns/op	     136 B/op	       5 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12              	 2608002	       441.0 ns/op	     176 B/op	       9 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                        	36652538	        32.56 ns/op	      16 B/op	       1 allocs/op
BenchmarkParseAndBackToString/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12                  	32272462	        36.36 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	github.com/dolmen-go/jsonptr-benchmark	207.675s
